StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,ITEM_1,ITEM_2,ITEM_3,ITEM_4,ITEM_5,ITEM_6,ITEM_7,ITEM_8,ITEM_9,ITEM_10,SC0,SC1,SC2,SC3,SC4
9/20/2022 13:04,9/20/2022 13:05,IP Address,167.96.124.135,100,39,TRUE,9/20/2022 13:05,R_1LogqyWzptJUl9G,,,,,29.9813,-90.1663,anonymous,EN,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,7,8,8,6,6
9/20/2022 13:04,9/20/2022 13:05,IP Address,174.203.65.53,100,49,TRUE,9/20/2022 13:05,R_3qqFNRLSfD1YLKu,,,,,30.4509,-91.1563,anonymous,EN,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,10,10,3,5,6
9/20/2022 13:04,9/20/2022 13:05,IP Address,167.96.15.173,100,53,TRUE,9/20/2022 13:05,R_2E5fahegzHnI4Fb,,,,,30.3586,-90.0561,anonymous,EN,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,6,9,6,8,6
9/20/2022 13:04,9/20/2022 13:05,IP Address,166.196.54.35,100,48,TRUE,9/20/2022 13:05,R_1hyg8CCWRz2bGWK,,,,,33.7838,-84.4455,anonymous,EN,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly disagree,Strongly agree,Somewhat disagree,Neither agree nor disagree,7,10,8,9,8
9/20/2022 13:04,9/20/2022 13:05,IP Address,167.96.24.47,100,49,TRUE,9/20/2022 13:05,R_3p3dcwJ8ib2ZgmX,,,,,29.9813,-90.1663,anonymous,EN,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,8,8,4,7,7
9/20/2022 13:04,9/20/2022 13:05,IP Address,167.96.80.190,100,46,TRUE,9/20/2022 13:05,R_Ze2exD20J7aj409,,,,,30.4042,-91.1431,anonymous,EN,Somewhat agree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,7,10,6,7,8
9/20/2022 13:04,9/20/2022 13:05,IP Address,167.96.32.35,100,56,TRUE,9/20/2022 13:05,R_30oAojYVbj5KCN1,,,,,30.4042,-91.1431,anonymous,EN,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly disagree,Strongly agree,Somewhat disagree,Neither agree nor disagree,6,10,9,9,8
9/20/2022 13:04,9/20/2022 13:05,IP Address,107.77.196.97,100,48,TRUE,9/20/2022 13:05,R_1I4LjY8OBD9YnIa,,,,,32.7797,-96.8022,anonymous,EN,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly disagree,Neither agree nor disagree,7,10,8,7,9
9/20/2022 13:04,9/20/2022 13:05,IP Address,167.96.76.32,100,48,TRUE,9/20/2022 13:05,R_3KDYyv9c8sucS3x,,,,,30.4042,-91.1431,anonymous,EN,Somewhat agree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,8,10,5,9,5
9/20/2022 13:05,9/20/2022 13:05,IP Address,167.96.63.19,100,28,TRUE,9/20/2022 13:05,R_3n741Uiv7DxR1qn,,,,,30.4042,-91.1431,anonymous,EN,Neither agree nor disagree,Somewhat agree,Strongly disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Strongly agree,8,8,7,8,9
